"NAME","SMARTS","FOCAL_ATOMS","REMARK","SKIP"
"primary -Cl3","Cl[CH0](Cl)Cl",0,"chlorine (attached to a primary carbon with 2 other chlorine atoms attached)",
"primary -Cl2","Cl[CH1]Cl",0,"chlorine (attached to a primary carbon with 1 other chlorine atom attached)",
"secondary -Cl2","Cl[CH0]Cl",0,"chlorine (attached to a secondary carbon with 1 other chlorine atom attached)",
"primary -Cl","Cl[CH2]",0,"chlorine (attached to a primary carbon with 0 other chlorine atoms attached)",
"secondary -Cl","Cl[CH1]",0,"chlorine (attached to a secondary carbon with 0 other chlorine atoms attached)",
"tertiary -Cl","Cl[CH0]",0,"chlorine (attached to a tertiary carbon with 0 other chlorine atoms attached)",
"ring -Cl","Cl[c,n]",0,"chlorine (attached to an aromatic ring)",
"ring -Br","Br[c,n]",0,"bromine (attached to an aromatic ring)",
"ring -I","I[c,n]",0,"iodine (attached to an aromatic ring)",
"ring -F","F[c,n]",0,"fluorine (attached to an aromatic ring)",
"-S-O","[S;H0;X2][OH,O-]","All","sulfur hydroxyl",
"aromatic ring -S-","c[sH0X2R]c","1","thioether (participating in an aromatic ring)",
"ring -S-","C[S;H0;X2;R]C","1","thioether (participating in a nonaromatic ring)",
"-S<","[S;H0;X3]","All","sulfonium",
"-SO3","S(=O)(=O)[OH,O-]","All","sulfate",
"-SO2-","[C,N]S(=O)(=O)[C,N]","1|2|3","sulfonyl",
"-S-S-","C[S;H0;X2;R0][S;H0;X2;R0]C","1|2","dithionine",
"ring -S-S-","C[S;H0;X2;R1][S;H0;X2;R1]C","1|2","dithionine",
"-C(=O)S-","C(=O)[S;H0;X2][C,c,N,n]","1|2","thioester",
"-C(=O)S","C(=O)[SH,S-]","1|2","thiocarboxyl",
"-S","[C,c,N,n,S][SH,S-]","1","thiol",
"-S-","[C,c,N,n,S][S;H0;X2][C,c,N,n,S]","1","thioether",
"-CO-OPO3","[C;H0;X3](=O)OP(=O)([OH,O-])[OH,O-]","All","phospho-carboxylic acid",
"CO-OPO3","[C;H1;X3](=O)OP(=O)([OH,O-])[OH,O-]","All","formyl phosphate",
"ring -OPO3-","O[P;R](=O)([OH,O-])O","All","middle link in a phosphate chain (participating in a ring)",
"*PC","P",0,"phosphate chains",
"N-PO3","NP(=O)([OH,O-])[OH,O-]","1|2|3|4","terminal phosphate group attached to nitrogen",
"C-PO3","CP(=O)([OH,O-])[OH,O-]","1|2|3|4","terminal phosphate group attached to carbon",
"ring -n<","cn(c)c","1","double bond and one single bond participating in a ring",
"ring -n-","cnc","1","participating in a ring",
"biring =N<","[C,c,P]=[N;R2]([C,c,P])[C,c,P]","1","participating in two fused rings",
"biring -N<","[C,c,P][N;R2]([C,c,P])[C,c,P]","All","participating in two fused rings",
"ring =N<","[C,c,P]=[N;R1]([C,c,P])[C,c,P]","1","double bond and one single bond participating in a ring",
"ring -N<","[C,c,P][N;R1]([C,c,P])[C,c,P]","1","participating in a ring",
"ring =N-","[C,c,P][N;R1]=[C,c,P]",1,"participating in a ring",
"ring -N-","[C,c,P][NH;R1][C,c,P]","1","participating in a ring",
">N<","[C,c,P][N;R0]([C,c,P])([C,c,P])[C,c,P]","1","quaternary amine",
"=N-","[C,c,P][N;R0]=[C,c,P]",1,"secondary unsaturated amine",
"=N","N=[C,c,P]","0","primary unsaturated amine",
"-N<","[C,c,P][N;R0]([C,c,P])[C,c,P]","1","tertiary amine",
